Platform,Congress,MemberICPSR,MemberName,MemberParty,MemberChamber,MemberState,MemberDistrict,n_messages,n_scored,mean_partisan_score,mean_partisan_extremity,p_Advertising,p_PositionTaking,p_CreditClaiming,p_NegativePartisan,p_Bipartisan,p_ConstituentService,p_CreditConstituent,p_CreditPolicy,mean_likes,mean_shares,mean_replies,mean_quotes,n_newsletters
Twitter,114,29925,"Crowley, Joseph",Democrat,House,NY,7,1071,1037,-0.5581,0.7791,0.1531,0.4725,0.1279,0.085,0.0084,0.0738,0.0037,0.1195,10.5313,7.3576,1.3613,0.3445,
Twitter,114,29932,"Walden, Greg",Republican,House,OR,2,646,635,-0.027,0.4865,0.2771,0.3096,0.0944,0.0325,0.0139,0.257,0.017,0.0666,6.2926,3.1146,2.195,0.257,
Twitter,114,29935,"TOOMEY, Patrick Joseph",Republican,Senate,PA,S,2914,2817,0.0093,0.5046,0.128,0.3768,0.0782,0.0971,0.0299,0.0597,0.0017,0.0594,6.9876,5.3792,6.0199,0.6397,
Twitter,114,29939,"Ryan, Paul",Republican,House,WI,1,6066,5854,0.1443,0.5721,0.095,0.5523,0.0277,0.1395,0.0102,0.0143,0.0,0.0209,181.1543,83.451,92.7339,19.042,
Twitter,114,29940,"BALDWIN, Tammy",Democrat,House,WI,2,4850,4767,-0.4171,0.7085,0.1759,0.5507,0.1299,0.0344,0.0466,0.0777,0.0167,0.0878,14.9198,9.1839,1.2887,0.254,
Twitter,114,31101,"DelBene, Suzan",Democrat,House,WA,1,1915,1871,-0.4986,0.7493,0.1556,0.4005,0.129,0.0235,0.0042,0.1551,0.0183,0.1123,5.823,2.9556,0.8548,0.1493,
Twitter,114,31102,"Massie, Thomas",Republican,House,KY,4,452,419,-0.0406,0.4797,0.1615,0.3385,0.1018,0.0243,0.0022,0.0774,0.0,0.0929,22.8916,22.8916,3.7942,0.9668,
Twitter,114,31103,"Payne, Donald",Democrat,House,NJ,10,1519,1446,-0.4423,0.7211,0.2824,0.4352,0.1126,0.0579,0.0072,0.1238,0.0184,0.0783,3.3838,2.9157,0.4009,0.0685,
Twitter,114,39301,"Clyburn, James",Democrat,House,SC,6,587,574,-0.3801,0.69,0.1857,0.3646,0.0443,0.0545,0.0102,0.0886,0.017,0.0358,23.8041,23.5349,3.4685,0.5247,
Twitter,114,39305,"Johnson, Eddie",Democrat,House,TX,30,1343,1233,-0.3853,0.6926,0.1445,0.3976,0.0119,0.0789,0.0119,0.1147,0.003,0.0097,17.5778,11.2755,1.0916,1.1236,
Twitter,114,39307,"Scott, Robert",Democrat,House,VA,3,1563,1505,-0.4007,0.7003,0.4325,0.158,0.0198,0.0102,0.0026,0.3289,0.0019,0.0179,7.2246,5.3109,0.5758,0.1651,
Twitter,114,39308,"Goodlatte, Bob",Republican,House,VA,6,1611,1606,0.0281,0.514,0.2495,0.4507,0.054,0.0608,0.0211,0.18,0.0,0.0379,4.522,4.3377,2.6667,0.4966,
Twitter,114,39310,"CANTWELL, Maria E.",Democrat,Senate,WA,S,1534,1509,-0.444,0.722,0.1597,0.5815,0.1056,0.0196,0.0163,0.0626,0.0143,0.0359,11.455,6.1349,1.6284,0.3905,
Twitter,114,40300,"MURKOWSKI, Lisa",Republican,Senate,AK,S,1862,1786,-0.1269,0.4366,0.1343,0.2857,0.0806,0.0349,0.0097,0.1778,0.0086,0.0634,7.0242,4.0054,2.7444,0.3244,
Twitter,114,40304,"ALEXANDER, Lamar",Republican,Senate,TN,S,1148,1122,-0.022,0.489,0.2909,0.5566,0.0819,0.0758,0.0218,0.0488,0.0148,0.0488,5.5462,4.6071,2.2456,0.2483,
